Frame,GreenViewIndex
frame_0800,0.1922
frame_0801,0.1894
frame_0802,0.1822
frame_0803,0.1778
frame_0804,0.1709
frame_0805,0.1659
frame_0806,0.1614
frame_0807,0.1518
frame_0808,0.1488
frame_0809,0.1451
frame_0810,0.1432
frame_0811,0.1380
frame_0812,0.1337
frame_0813,0.1310
frame_0814,0.1275
frame_0815,0.1243
frame_0816,0.1212
frame_0817,0.1167
frame_0818,0.1132
frame_0819,0.1086
frame_0820,0.1037
frame_0821,0.0994
frame_0822,0.0947
frame_0823,0.0909
frame_0824,0.0869
frame_0825,0.0827
frame_0826,0.0818
frame_0827,0.0771
frame_0828,0.0742
frame_0829,0.0722
frame_0830,0.0691
frame_0831,0.0676
frame_0832,0.0645
frame_0833,0.0646
frame_0834,0.0768
frame_0835,0.0754
frame_0836,0.0633
frame_0837,0.0637
frame_0838,0.0640
frame_0839,0.0649
frame_0840,0.0657
frame_0841,0.0673
frame_0842,0.0694
frame_0843,0.0712
frame_0844,0.0711
frame_0845,0.0719
frame_0846,0.0740
frame_0847,0.0750
frame_0848,0.0763
frame_0849,0.0801
frame_0850,0.0808
frame_0851,0.0842
frame_0852,0.0860
frame_0853,0.0880
frame_0854,0.0906
frame_0855,0.0949
frame_0856,0.0987
frame_0857,0.1006
frame_0858,0.1036
frame_0859,0.1096
frame_0860,0.1115
frame_0861,0.1180
frame_0862,0.1334
frame_0863,0.1485
frame_0864,0.1494
frame_0865,0.1523
frame_0866,0.1630
frame_0867,0.1630
frame_0868,0.1686
frame_0869,0.1716
frame_0870,0.1816
frame_0871,0.1904
frame_0872,0.1973
frame_0873,0.2096
frame_0874,0.2129
frame_0875,0.2247
frame_0876,0.2373
frame_0877,0.2536
frame_0878,0.2691
frame_0879,0.2871
frame_0880,0.3033
frame_0881,0.3030
frame_0882,0.3130
frame_0883,0.3123
frame_0884,0.3122
frame_0885,0.3155
frame_0886,0.3217
frame_0887,0.3291
frame_0888,0.3422
frame_0889,0.3523
frame_0890,0.3563
frame_0891,0.3699
frame_0892,0.3689
frame_0893,0.3665
frame_0894,0.3838
frame_0895,0.3835
frame_0896,0.3845
frame_0897,0.3862
frame_0898,0.3791
frame_0899,0.3721
frame_0900,0.3811
frame_0901,0.3709
frame_0902,0.3732
